review,sentiment
Le produit est affreux.,negatif
Le produit est de grande qualité.,positive
Le produit est de mauvaise qualité.,negatif
Le produit est fantastique.,positive
Le produit est génial !,positive
Le produit est de grande qualité.,positive
Le produit est remarquable.,positive
Le produit est parfait pour moi.,positive
Le produit est très bon.,positive
Le produit est parfait.,positive
Le produit est inacceptable.,negatif
Le produit est bien emballé.,positive
Le produit est de haute qualité.,positive
Je n'aime pas ce produit,negative
Le produit est très pratique.,positive
Le produit est déplorable.,negatif
Le produit est impeccable.,positive
Le produit est mal conçu.,negatif
Le produit est à éviter.,negatif
Le produit est très bon.,positive
Très bon achat.,positive
Je ne rachèterai pas ce produit.,negatif
Le produit est exécrable.,negatif
Le produit est super.,positive
Le produit est sensationnel.,positive
Le produit est très décevant.,negatif
Le produit est très bon.,positive
Déception totale.,negatif
Le produit est excellent.,positive
Le produit est de très bonne qualité.,positive
C'est exactement ce que je recherchais.,positive
Le produit est facile à installer.,positive
C'est exactement ce que je recherchais.,positive
Le produit est très bon.,neutral
Le produit est exécrable.,negatif
Le produit est formidable.,positive
Le produit est inadmissible.,negatif
Le produit est facile à utiliser.,positive
Le produit est abominable.,negatif
Le produit est de haute qualité.,positive
Le produit est génial.,positive
"Le design est élégant, mais la performance laisse à désirer.",negatif
Le produit est inadéquat.,negatif
Le produit est de très bonne facture.,positive
Le produit est de très bonne qualité.,positive
Le produit est lamentable.,negatif
Le produit est arrivé à temps.,positive
Le produit est excellent.,positive
Le produit est répugnant.,negatif
"Le design est élégant, mais la performance laisse à désirer.",negatif
Le produit est à jeter.,negatif
Le produit est mauvais.,negatif
Le produit est de qualité supérieure.,positive
"Le design est élégant, mais la performance laisse à désirer.",negatif
Le produit est de qualité supérieure.,neutral
Le produit est facile à utiliser.,neutral
Le produit est ignoble.,negative
Le produit est lamentable.,negative
Produit reçu en parfait état et très rapidement.,neutral
Le produit est excellent.,negative
Le produit est horrible.,positive
Le produit est à éviter.,positive
Le produit est horrible.,positive
Le produit est excellent.,neutral
Le produit est excellent.,neutral
"Le design est élégant, mais la performance laisse à désirer.",neutral
Le produit est formidable.,negative
Le produit est répugnant.,negative
Le produit est incroyable.,positive
Le produit est formidable.,neutral
Produit médiocre.,neutral
Le produit est très bon.,neutral
Produit médiocre.,negative
Le produit est abîmé.,positive
Je ne recommande pas ce produit.,positive
Le produit est inacceptable.,negative
Le produit est incroyable.,neutral
Le produit est de grande valeur.,negative
Le produit est abîmé.,neutral
C'est exactement ce que je recherchais.,neutral
Je n'aime pas ce produit,neutral
Le produit est de grande qualité.,neutral
Le produit est formidable.,neutral
Le produit est horrible.,neutral
Le produit est parfait.,negative
Le produit est top.,positive
"Le design est élégant, mais la performance laisse à désirer.",neutral
Le produit est superbe.,positive
C'est exactement ce que je recherchais.,negative
Le produit est super.,negative
Le produit est super.,neutral
Excellent rapport qualité-prix.,positive
